x,y,z
x,y,z
39.2148,21.6688,-74.2938,
35.779,23.4488,-74.4787,
38.414,21.9962,-74.1796,
37.7464,22.3149,-74.3816,
37.1224,22.6157,-73.8591,
38.8779,21.6615,-74.3335,
36.5001,22.9065,-74.1805,
35.4906,23.4173,-74.5358,
38.1091,21.9847,-74.3313,
39.2496,21.3616,-74.4121,
35.8167,23.1331,-74.4381,
36.1796,22.9301,-74.2601,
36.8613,22.5349,-74.0326,
37.2722,22.3097,-74.2154,
38.4855,21.6592,-74.3165,
36.539,22.6206,-74.1533,
37.7218,21.9931,-74.3542,
35.8502,22.9624,-74.4318,
39.2259,21.1044,-74.2556,
38.1539,21.6342,-74.4239,
35.4712,23.0216,-74.4401,
38.9151,21.2183,-74.413,
36.2058,22.5919,-74.2791,
36.8223,22.2566,-73.9616,
37.3537,21.9662,-74.3488,
38.6208,21.232,-74.6141,
35.3672,22.913,-74.3309,
38.269,21.3662,-74.9287,
37.9129,21.5493,-74.7079,
35.8786,22.6134,-74.4023,
36.5709,22.2466,-74.2692,
35.6819,22.6574,-74.337,
38.3897,21.212,-75.0178,
38.5399,21.1431,-74.531,
37.2378,21.754,-75.8548,
36.9463,21.9349,-74.2483,
37.5092,21.6182,-74.5945,
36.26,22.2115,-74.3466,
35.5099,22.5939,-74.2972,
39.097,20.5759,-73.8974,
38.7977,20.6928,-74.0575,
35.8404,22.2185,-74.2842,
37.266,21.435,-75.7383,
36.3799,21.9188,-74.6717,
36.503,21.8507,-74.1914,
37.031,21.571,-74.3412,
36.144,21.9327,-74.4512,
37.4176,21.2584,-74.4721,
37.9267,20.9758,-74.5967,
36.6933,21.5667,-74.4071,
36.9659,21.3006,-76.0373,
38.4047,20.5799,-74.0383,
37.0782,21.2523,-74.4569,
35.7404,21.916,-74.1217,
38.1576,20.636,-74.3792,
36.2719,21.5693,-74.3038,
38.7819,20.2523,-74.0074,
37.4685,20.8994,-74.3175,
36.9257,21.1538,-75.4226,
37.8241,20.6974,-74.3621,
35.3662,21.9595,-74.2905,
36.6806,21.2369,-74.3393,
38.4745,20.2798,-74.183,
37.5415,20.6521,-74.3148,
35.0464,21.9518,-74.2599,
38.1136,20.3288,-74.1524,
36.9931,20.8853,-74.3272,
35.8265,21.4852,-74.228,
36.2431,21.1948,-74.2293,
38.7219,19.874,-73.9323,
35.363,21.6034,-74.388,
37.8089,20.3272,-74.2263,
36.6328,20.8688,-74.2871,
34.6562,21.8847,-74.3824,
37.133,20.5834,-74.3537,
36.6092,20.8135,-75.2785,
35.8271,21.1753,-74.2227,
34.9922,21.5695,-74.4289,
38.3198,19.8084,-73.9136,
36.2812,20.8473,-74.2328,
35.4379,21.2721,-74.2135,
37.3564,20.2009,-74.1905,
35.5024,21.1676,-74.2841,
37.9975,19.8469,-73.8961,
36.66,20.5228,-74.2686,
35.1891,21.2544,-74.3119,
34.6342,21.518,-74.401,
38.3975,19.5218,-73.9315,
35.8674,20.8208,-74.2159,
37.6829,19.8674,-74.0522,
36.953,20.1776,-74.1873,
36.2632,20.5044,-74.2261,
38.0199,19.5269,-73.93,
37.3396,19.8637,-74.1907,
35.5005,20.8189,-74.2423,
36.6421,20.1753,-74.2703,
37.7041,19.5438,-74.0495,
35.911,20.4488,-74.2382,
37.0838,19.7712,-74.3838,
38.2848,19.1432,-73.8486,
